seq,ts,run,model,status,prompt_tokens,completion_tokens,reasoning_tokens,reasoning_estimated,usage_estimated,finish_reason,cached_tokens,latency_ms,in_per_m,out_per_m,price_source,cost_usd
49,1788951750.668229,run1-think-on,nemotron-3-nano:4b,200,37,175,167,1,0,stop,0,5614.2,,,,
50,1788951752.5997849,run1-think-on,nemotron-3-nano:4b,200,34,96,75,1,0,stop,0,5422.2,,,,
51,1788951755.4214442,run1-think-on,nemotron-3-nano:4b,200,38,141,100,1,0,stop,0,4750.7,,,,
52,1788951757.98858,run1-think-on,nemotron-3-nano:4b,200,38,127,74,1,0,stop,0,5386.6,,,,
53,1788951759.252522,run1-think-on,nemotron-3-nano:4b,200,36,63,35,1,0,stop,32,3828.6,,,,
54,1788951761.2615309,run1-think-on,nemotron-3-nano:4b,200,38,101,63,1,0,stop,34,3270.4,,,,
55,1788951763.842974,run1-think-on,nemotron-3-nano:4b,200,37,128,69,1,0,stop,0,4587.1,,,,
56,1788951765.7110999,run1-think-on,nemotron-3-nano:4b,200,34,94,55,1,0,stop,30,4447.0,,,,
57,1788951774.1265438,run1-think-on,nemotron-3-nano:4b,200,37,434,463,1,0,stop,0,10280.9,,,,
58,1788951776.832565,run1-think-on,nemotron-3-nano:4b,200,39,134,68,1,0,stop,0,11118.7,,,,
59,1788951779.147134,run1-think-on,nemotron-3-nano:4b,200,38,114,72,1,0,stop,0,5018.0,,,,
60,1788951781.944928,run1-think-on,nemotron-3-nano:4b,200,38,139,102,1,0,stop,0,5107.2,,,,
61,1788951784.516763,run1-think-on,nemotron-3-nano:4b,200,38,127,87,1,0,stop,0,5366.9,,,,
62,1788951798.3684108,run1-think-on,nemotron-3-nano:4b,200,38,723,772,1,0,stop,34,16420.7,,,,
63,1788951807.220917,run1-think-on,nemotron-3-nano:4b,200,38,444,389,1,0,stop,0,22700.2,,,,
64,1788951811.534249,run1-think-on,nemotron-3-nano:4b,200,35,217,186,1,0,stop,0,13162.6,,,,
65,1788951828.0134761,run1-think-on,nemotron-3-nano:4b,200,36,848,894,1,0,stop,32,20789.9,,,,
66,1788951837.036501,run1-think-on,nemotron-3-nano:4b,200,35,461,406,1,0,stop,0,25499.3,,,,
67,1788951840.858667,run1-think-on,nemotron-3-nano:4b,200,35,195,167,1,0,stop,31,12842.3,,,,
68,1788951843.0524302,run1-think-on,nemotron-3-nano:4b,200,38,110,72,1,0,stop,34,6013.2,,,,
69,1788951846.711062,run1-think-on,nemotron-3-nano:4b,200,35,184,153,1,0,stop,0,5849.8,,,,
70,1788951851.7133608,run1-think-on,nemotron-3-nano:4b,200,35,256,283,1,0,stop,31,8658.1,,,,
71,1788951862.678775,run1-think-on,nemotron-3-nano:4b,200,39,559,496,1,0,stop,0,15965.1,,,,
72,1788951865.073641,run1-think-on,nemotron-3-nano:4b,200,36,118,86,1,0,stop,0,13357.6,,,,
73,1788951875.138347,run1-think-on,nemotron-3-nano:4b,200,37,512,511,1,0,stop,0,12455.9,,,,
74,1788951877.783969,run1-think-on,nemotron-3-nano:4b,200,38,134,76,1,0,stop,34,12708.5,,,,
75,1788951888.1918468,run1-think-on,nemotron-3-nano:4b,200,38,531,558,1,0,stop,0,13051.0,,,,
76,1788951893.001718,run1-think-on,nemotron-3-nano:4b,200,33,245,240,1,0,stop,29,15215.2,,,,
77,1788951895.268241,run1-think-on,nemotron-3-nano:4b,200,38,110,61,1,0,stop,0,7073.1,,,,
78,1788951897.417461,run1-think-on,nemotron-3-nano:4b,200,37,104,38,1,0,stop,0,4413.2,,,,
79,1788951902.392823,run1-think-on,nemotron-3-nano:4b,200,39,249,182,1,0,stop,0,7121.8,,,,
80,1788951904.648027,run1-think-on,nemotron-3-nano:4b,200,38,111,83,1,0,stop,34,7227.8,,,,
81,1788951912.787223,run1-think-on,nemotron-3-nano:4b,200,36,405,396,1,0,stop,0,10391.6,,,,
82,1788951923.2449641,run1-think-on,nemotron-3-nano:4b,200,35,523,547,1,0,stop,0,18594.4,,,,
83,1788951933.090393,run1-think-on,nemotron-3-nano:4b,200,38,495,472,1,0,stop,34,20300.9,,,,
84,1788951938.6099358,run1-think-on,nemotron-3-nano:4b,200,38,266,254,1,0,stop,0,15360.9,,,,
85,1788951940.350132,run1-think-on,nemotron-3-nano:4b,200,38,82,21,1,0,stop,0,7257.0,,,,
86,1788951943.841231,run1-think-on,nemotron-3-nano:4b,200,35,173,112,1,0,stop,0,5227.3,,,,
87,1788951947.110834,run1-think-on,nemotron-3-nano:4b,200,38,165,118,1,0,stop,0,6758.2,,,,
88,1788951949.93764,run1-think-on,nemotron-3-nano:4b,200,34,145,120,1,0,stop,30,6093.4,,,,
89,1788951952.193171,run1-think-on,nemotron-3-nano:4b,200,37,115,71,1,0,stop,33,5079.6,,,,
90,1788951955.8522089,run1-think-on,nemotron-3-nano:4b,200,38,185,116,1,0,stop,0,5912.2,,,,
91,1788951958.203685,run1-think-on,nemotron-3-nano:4b,200,38,116,90,1,0,stop,0,6007.6,,,,
92,1788951967.284726,run1-think-on,nemotron-3-nano:4b,200,38,474,467,1,0,stop,34,11429.8,,,,
93,1788951970.494379,run1-think-on,nemotron-3-nano:4b,200,39,161,99,1,0,stop,0,12288.0,,,,
94,1788951972.2927418,run1-think-on,nemotron-3-nano:4b,200,36,89,50,1,0,stop,0,5005.4,,,,
95,1788951975.5539908,run1-think-on,nemotron-3-nano:4b,200,39,164,137,1,0,stop,0,5056.9,,,,
96,1788951978.35416,run1-think-on,nemotron-3-nano:4b,200,35,142,88,1,0,stop,0,6058.6,,,,
97,1788951981.7000818,run1-think-on,nemotron-3-nano:4b,200,38,169,107,1,0,stop,0,6143.1,,,,
98,1788951983.996299,run1-think-on,nemotron-3-nano:4b,200,38,118,67,1,0,stop,34,5639.2,,,,
99,1788951986.41922,run1-think-on,nemotron-3-nano:4b,200,38,120,69,1,0,stop,0,4716.5,,,,
100,1788951989.967328,run1-think-on,nemotron-3-nano:4b,200,35,179,102,1,0,stop,0,5968.4,,,,
101,1788951991.5924811,run1-think-on,nemotron-3-nano:4b,200,37,77,20,1,0,stop,0,5170.5,,,,
102,1788951994.583051,run1-think-on,nemotron-3-nano:4b,200,35,152,86,1,0,stop,0,4613.0,,,,
103,1788951998.7159,run1-think-on,nemotron-3-nano:4b,200,35,215,208,1,0,stop,31,7119.3,,,,
104,1788952007.757252,run1-think-on,nemotron-3-nano:4b,200,35,469,498,1,0,stop,0,13171.2,,,,
105,1788952011.064564,run1-think-on,nemotron-3-nano:4b,200,35,171,73,1,0,stop,31,12346.1,,,,
106,1788952014.15229,run1-think-on,nemotron-3-nano:4b,200,33,156,144,1,0,stop,0,6392.3,,,,
107,1788952016.235478,run1-think-on,nemotron-3-nano:4b,200,37,107,41,1,0,stop,33,5168.5,,,,
108,1788952018.647536,run1-think-on,nemotron-3-nano:4b,200,38,120,90,1,0,stop,0,4492.7,,,,
109,1788952022.016735,run1-think-on,nemotron-3-nano:4b,200,33,172,160,1,0,stop,0,5778.6,,,,
110,1788952024.038174,run1-think-on,nemotron-3-nano:4b,200,36,104,43,1,0,stop,32,5387.8,,,,
111,1788952026.7231061,run1-think-on,nemotron-3-nano:4b,200,38,134,55,1,0,stop,0,4703.9,,,,
112,1788952030.464347,run1-think-on,nemotron-3-nano:4b,200,35,191,137,1,0,stop,0,6423.0,,,,
113,1788952041.7899368,run1-think-on,nemotron-3-nano:4b,200,38,588,590,1,0,stop,0,15064.3,,,,
114,1788952044.1257532,run1-think-on,nemotron-3-nano:4b,200,38,116,73,1,0,stop,0,13658.5,,,,
115,1788952046.5198631,run1-think-on,nemotron-3-nano:4b,200,38,119,85,1,0,stop,0,4727.1,,,,
116,1788952050.141054,run1-think-on,nemotron-3-nano:4b,200,38,188,130,1,0,stop,34,6012.3,,,,
117,1788952052.298537,run1-think-on,nemotron-3-nano:4b,200,33,108,86,1,0,stop,0,5776.0,,,,
118,1788952054.236008,run1-think-on,nemotron-3-nano:4b,200,38,95,49,1,0,stop,0,4092.0,,,,
119,1788952055.742134,run1-think-on,nemotron-3-nano:4b,200,37,77,45,1,0,stop,33,3440.6,,,,
120,1788952058.219624,run1-think-on,nemotron-3-nano:4b,200,38,128,112,1,0,stop,34,3980.8,,,,
121,1788952060.28097,run2-think-off,nemotron-3-nano:4b,200,34,39,,0,0,stop,0,867.5,,,,
122,1788952061.1515598,run2-think-off,nemotron-3-nano:4b,200,38,39,,0,0,stop,0,1738.9,,,,
123,1788952063.073298,run2-think-off,nemotron-3-nano:4b,200,38,94,,0,0,stop,0,2784.9,,,,
124,1788952064.620378,run2-think-off,nemotron-3-nano:4b,200,35,76,,0,0,stop,0,3466.5,,,,
125,1788952066.737086,run2-think-off,nemotron-3-nano:4b,200,39,104,,0,0,stop,0,3661.0,,,,
126,1788952067.672572,run2-think-off,nemotron-3-nano:4b,200,35,47,,0,0,stop,31,3049.8,,,,
127,1788952069.1970618,run2-think-off,nemotron-3-nano:4b,200,38,78,,0,0,stop,34,2456.7,,,,
128,1788952070.361465,run2-think-off,nemotron-3-nano:4b,200,35,59,,0,0,stop,31,2686.4,,,,
129,1788952071.601011,run2-think-off,nemotron-3-nano:4b,200,38,63,,0,0,stop,34,2401.5,,,,
130,1788952072.232552,run2-think-off,nemotron-3-nano:4b,200,36,31,,0,0,stop,32,1868.4,,,,
131,1788952073.777119,run2-think-off,nemotron-3-nano:4b,200,35,79,,0,0,stop,31,2173.4,,,,
132,1788952075.629355,run2-think-off,nemotron-3-nano:4b,200,35,92,,0,0,stop,0,3393.9,,,,
133,1788952076.5818722,run2-think-off,nemotron-3-nano:4b,200,35,48,,0,0,stop,31,2801.9,,,,
134,1788952078.524365,run2-think-off,nemotron-3-nano:4b,200,38,100,,0,0,stop,34,2892.2,,,,
135,1788952079.518553,run2-think-off,nemotron-3-nano:4b,200,35,50,,0,0,stop,31,2934.0,,,,
136,1788952080.268835,run2-think-off,nemotron-3-nano:4b,200,35,37,,0,0,stop,31,1741.7,,,,
137,1788952082.440835,run2-think-off,nemotron-3-nano:4b,200,35,112,,0,0,stop,31,2919.4,,,,
138,1788952083.571197,run2-think-off,nemotron-3-nano:4b,200,33,54,,0,0,stop,0,3299.6,,,,
139,1788952084.7040489,run2-think-off,nemotron-3-nano:4b,200,36,57,,0,0,stop,32,2260.7,,,,
140,1788952086.265019,run2-think-off,nemotron-3-nano:4b,200,38,80,,0,0,stop,34,2691.2,,,,
141,1788952088.11611,run2-think-off,nemotron-3-nano:4b,200,37,95,,0,0,stop,33,3409.2,,,,
142,1788952089.7493792,run2-think-off,nemotron-3-nano:4b,200,38,79,,0,0,stop,0,3481.5,,,,
143,1788952092.208124,run2-think-off,nemotron-3-nano:4b,200,33,127,,0,0,stop,29,4089.2,,,,
144,1788952093.43042,run2-think-off,nemotron-3-nano:4b,200,34,62,,0,0,stop,30,3678.3,,,,
145,1788952094.425619,run2-think-off,nemotron-3-nano:4b,200,37,50,,0,0,stop,33,2214.7,,,,
146,1788952096.4495099,run2-think-off,nemotron-3-nano:4b,200,33,101,,0,0,stop,0,3016.5,,,,
147,1788952097.193606,run2-think-off,nemotron-3-nano:4b,200,38,37,,0,0,stop,34,2765.1,,,,
148,1788952098.2438889,run2-think-off,nemotron-3-nano:4b,200,35,53,,0,0,stop,31,1791.6,,,,
149,1788952099.3288262,run2-think-off,nemotron-3-nano:4b,200,38,50,,0,0,stop,0,2132.3,,,,
150,1788952100.890885,run2-think-off,nemotron-3-nano:4b,200,38,80,,0,0,stop,34,2644.1,,,,
151,1788952102.544893,run2-think-off,nemotron-3-nano:4b,200,38,85,,0,0,stop,34,3213.1,,,,
152,1788952104.127499,run2-think-off,nemotron-3-nano:4b,200,37,81,,0,0,stop,33,3234.1,,,,
153,1788952104.9502442,run2-think-off,nemotron-3-nano:4b,200,38,41,,0,0,stop,34,2402.4,,,,
154,1788952106.324609,run2-think-off,nemotron-3-nano:4b,200,36,70,,0,0,stop,32,2194.3,,,,
155,1788952108.077934,run2-think-off,nemotron-3-nano:4b,200,39,90,,0,0,stop,35,3124.7,,,,
156,1788952109.263229,run2-think-off,nemotron-3-nano:4b,200,35,60,,0,0,stop,31,2935.6,,,,
157,1788952110.6177258,run2-think-off,nemotron-3-nano:4b,200,37,69,,0,0,stop,33,2536.9,,,,
158,1788952112.486918,run2-think-off,nemotron-3-nano:4b,200,35,96,,0,0,stop,31,3219.6,,,,
159,1788952114.220744,run2-think-off,nemotron-3-nano:4b,200,35,89,,0,0,stop,31,3600.0,,,,
160,1788952115.024914,run2-think-off,nemotron-3-nano:4b,200,36,40,,0,0,stop,32,2535.2,,,,
161,1788952115.98047,run2-think-off,nemotron-3-nano:4b,200,37,48,,0,0,stop,33,1756.9,,,,
162,1788952117.0111082,run2-think-off,nemotron-3-nano:4b,200,38,52,,0,0,stop,34,1983.3,,,,
163,1788952119.1232178,run2-think-off,nemotron-3-nano:4b,200,39,109,,0,0,stop,35,3139.9,,,,
164,1788952120.968458,run2-think-off,nemotron-3-nano:4b,200,36,95,,0,0,stop,32,3953.8,,,,
165,1788952121.976943,run2-think-off,nemotron-3-nano:4b,200,35,51,,0,0,stop,31,2850.8,,,,
166,1788952123.2187939,run2-think-off,nemotron-3-nano:4b,200,37,63,,0,0,stop,33,2247.5,,,,
167,1788952124.0035279,run2-think-off,nemotron-3-nano:4b,200,36,39,,0,0,stop,32,2023.8,,,,
168,1788952124.899869,run2-think-off,nemotron-3-nano:4b,200,36,45,,0,0,stop,32,1678.1,,,,
169,1788952125.550496,run2-think-off,nemotron-3-nano:4b,200,37,32,,0,0,stop,33,1544.5,,,,
170,1788952127.0185778,run2-think-off,nemotron-3-nano:4b,200,34,75,,0,0,stop,30,2116.0,,,,
171,1788952128.886338,run2-think-off,nemotron-3-nano:4b,200,38,96,,0,0,stop,34,3333.0,,,,
172,1788952130.7373078,run2-think-off,nemotron-3-nano:4b,200,38,95,,0,0,stop,34,3715.9,,,,
173,1788952131.541152,run2-think-off,nemotron-3-nano:4b,200,36,40,,0,0,stop,32,2652.5,,,,
174,1788952133.0672362,run2-think-off,nemotron-3-nano:4b,200,38,78,,0,0,stop,34,2326.9,,,,
175,1788952134.555308,run2-think-off,nemotron-3-nano:4b,200,37,76,,0,0,stop,33,3011.2,,,,
176,1788952135.605524,run2-think-off,nemotron-3-nano:4b,200,34,53,,0,0,stop,30,2535.5,,,,
177,1788952136.161085,run2-think-off,nemotron-3-nano:4b,200,37,27,,0,0,stop,33,1602.9,,,,
178,1788952137.7968729,run2-think-off,nemotron-3-nano:4b,200,39,79,,0,0,stop,0,2188.5,,,,
179,1788952139.1913862,run2-think-off,nemotron-3-nano:4b,200,38,71,,0,0,stop,34,3027.4,,,,
180,1788952141.040715,run2-think-off,nemotron-3-nano:4b,200,38,95,,0,0,stop,34,3241.1,,,,
181,1788952142.660962,run2-think-off,nemotron-3-nano:4b,200,38,83,,0,0,stop,34,3466.7,,,,
182,1788952143.730478,run2-think-off,nemotron-3-nano:4b,200,38,54,,0,0,stop,34,2687.1,,,,
183,1788952144.875856,run2-think-off,nemotron-3-nano:4b,200,38,58,,0,0,stop,34,2212.0,,,,
184,1788952146.21225,run2-think-off,nemotron-3-nano:4b,200,35,68,,0,0,stop,31,2478.8,,,,
185,1788952147.971207,run2-think-off,nemotron-3-nano:4b,200,36,90,,0,0,stop,32,3092.5,,,,
186,1788952149.2301939,run2-think-off,nemotron-3-nano:4b,200,35,64,,0,0,stop,31,3015.0,,,,
187,1788952150.431488,run2-think-off,nemotron-3-nano:4b,200,35,61,,0,0,stop,31,2457.4,,,,
188,1788952151.821307,run2-think-off,nemotron-3-nano:4b,200,38,71,,0,0,stop,34,2588.4,,,,
189,1788952153.0983958,run2-think-off,nemotron-3-nano:4b,200,35,65,,0,0,stop,31,2664.0,,,,
190,1788952154.7046242,run2-think-off,nemotron-3-nano:4b,200,35,82,,0,0,stop,31,2880.5,,,,
191,1788952156.09644,run2-think-off,nemotron-3-nano:4b,200,39,71,,0,0,stop,35,2995.3,,,,
192,1788952157.20337,run2-think-off,nemotron-3-nano:4b,200,36,56,,0,0,stop,32,2495.8,,,,
193,1788952158.540225,run2-think-off,nemotron-3-nano:4b,200,37,68,,0,0,stop,33,2441.1,,,,
194,1788952160.084349,run2-think-off,nemotron-3-nano:4b,200,38,79,,0,0,stop,34,2878.0,,,,
195,1788952160.8490381,run2-think-off,nemotron-3-nano:4b,200,38,38,,0,0,stop,34,2305.9,,,,
196,1788952161.71188,run2-think-off,nemotron-3-nano:4b,200,33,40,,0,0,stop,0,1624.6,,,,
197,1788952162.7031,run2-think-off,nemotron-3-nano:4b,200,38,50,,0,0,stop,34,1851.1,,,,
198,1788952163.905471,run2-think-off,nemotron-3-nano:4b,200,37,61,,0,0,stop,33,2190.7,,,,
199,1788952165.640567,run2-think-off,nemotron-3-nano:4b,200,39,89,,0,0,stop,35,2934.9,,,,
200,1788952166.958306,run2-think-off,nemotron-3-nano:4b,200,38,67,,0,0,stop,34,3049.9,,,,
201,1788952167.855443,run2-think-off,nemotron-3-nano:4b,200,36,45,,0,0,stop,32,2211.9,,,,
202,1788952168.772746,run2-think-off,nemotron-3-nano:4b,200,35,46,,0,0,stop,31,1811.5,,,,
203,1788952170.1846888,run2-think-off,nemotron-3-nano:4b,200,38,72,,0,0,stop,34,2326.3,,,,
204,1788952171.4934552,run2-think-off,nemotron-3-nano:4b,200,38,66,,0,0,stop,34,2717.8,,,,
205,1788952173.569997,run2-think-off,nemotron-3-nano:4b,200,38,107,,0,0,stop,34,3382.4,,,,
206,1788952174.391051,run2-think-off,nemotron-3-nano:4b,200,35,41,,0,0,stop,31,2894.7,,,,
207,1788952175.8776152,run2-think-off,nemotron-3-nano:4b,200,38,76,,0,0,stop,34,2304.7,,,,
208,1788952176.718858,run2-think-off,nemotron-3-nano:4b,200,34,42,,0,0,stop,30,2324.9,,,,
209,1788952177.217736,run2-think-off,nemotron-3-nano:4b,200,37,24,,0,0,stop,33,1337.2,,,,
210,1788952178.1356611,run2-think-off,nemotron-3-nano:4b,200,38,46,,0,0,stop,34,1414.2,,,,
211,1788952179.148909,run2-think-off,nemotron-3-nano:4b,200,38,51,,0,0,stop,34,1928.1,,,,
212,1788952180.4846148,run2-think-off,nemotron-3-nano:4b,200,38,68,,0,0,stop,34,2345.9,,,,
213,1788952182.049751,run2-think-off,nemotron-3-nano:4b,200,39,80,,0,0,stop,35,2896.7,,,,
214,1788952182.910134,run2-think-off,nemotron-3-nano:4b,200,36,43,,0,0,stop,32,2422.5,,,,
215,1788952184.699362,run2-think-off,nemotron-3-nano:4b,200,39,92,,0,0,stop,35,2646.7,,,,
216,1788952185.5419111,run2-think-off,nemotron-3-nano:4b,200,35,42,,0,0,stop,31,2628.5,,,,
217,1788952187.200667,run2-think-off,nemotron-3-nano:4b,200,38,85,,0,0,stop,34,2498.3,,,,
218,1788952188.0806882,run2-think-off,nemotron-3-nano:4b,200,38,44,,0,0,stop,34,2535.8,,,,
219,1788952189.3772311,run2-think-off,nemotron-3-nano:4b,200,38,66,,0,0,stop,34,2173.6,,,,
220,1788952191.095417,run2-think-off,nemotron-3-nano:4b,200,35,88,,0,0,stop,31,3011.8,,,,
221,1788952192.9782321,run2-think-off,nemotron-3-nano:4b,200,37,97,,0,0,stop,33,3598.0,,,,
222,1788952194.730826,run2-think-off,nemotron-3-nano:4b,200,35,90,,0,0,stop,31,3632.9,,,,
223,1788952196.464247,run2-think-off,nemotron-3-nano:4b,200,35,89,,0,0,stop,31,3483.1,,,,
224,1788952198.062259,run2-think-off,nemotron-3-nano:4b,200,35,81,,0,0,stop,31,3328.5,,,,
225,1788952198.73044,run2-think-off,nemotron-3-nano:4b,200,35,33,,0,0,stop,31,2263.3,,,,
226,1788952199.628896,run2-think-off,nemotron-3-nano:4b,200,33,45,,0,0,stop,29,1563.7,,,,
227,1788952200.792756,run2-think-off,nemotron-3-nano:4b,200,37,59,,0,0,stop,33,2059.4,,,,
228,1788952202.110848,run2-think-off,nemotron-3-nano:4b,200,38,67,,0,0,stop,34,2479.0,,,,
229,1788952203.424136,run2-think-off,nemotron-3-nano:4b,200,33,67,,0,0,stop,29,2628.4,,,,
230,1788952204.967948,run2-think-off,nemotron-3-nano:4b,200,36,79,,0,0,stop,32,2854.4,,,,
231,1788952206.610656,run2-think-off,nemotron-3-nano:4b,200,38,84,,0,0,stop,34,3183.5,,,,
232,1788952208.176051,run2-think-off,nemotron-3-nano:4b,200,35,80,,0,0,stop,31,3205.1,,,,
233,1788952209.339849,run2-think-off,nemotron-3-nano:4b,200,38,59,,0,0,stop,34,2726.3,,,,
234,1788952210.996327,run2-think-off,nemotron-3-nano:4b,200,38,85,,0,0,stop,34,2817.4,,,,
235,1788952212.370396,run2-think-off,nemotron-3-nano:4b,200,38,70,,0,0,stop,34,3027.7,,,,
236,1788952213.3981981,run2-think-off,nemotron-3-nano:4b,200,38,52,,0,0,stop,34,2398.9,,,,
237,1788952215.096225,run2-think-off,nemotron-3-nano:4b,200,33,87,,0,0,stop,29,2722.8,,,,
238,1788952216.8134809,run2-think-off,nemotron-3-nano:4b,200,38,88,,0,0,stop,34,3412.4,,,,
239,1788952218.041522,run2-think-off,nemotron-3-nano:4b,200,37,62,,0,0,stop,33,2942.2,,,,
240,1788952218.9352121,run2-think-off,nemotron-3-nano:4b,200,38,45,,0,0,stop,34,2118.8,,,,
241,1788952349.227576,run3-forecast60-think-on,nemotron-3-nano:4b,200,34,146,119,1,0,stop,30,2836.1,0.06,0.24,forecast,3.708e-05
242,1788952351.577326,run3-forecast60-think-on,nemotron-3-nano:4b,200,38,121,89,1,0,stop,34,5200.1,0.06,0.24,forecast,3.132e-05
243,1788952354.5079858,run3-forecast60-think-on,nemotron-3-nano:4b,200,38,152,87,1,0,stop,34,5273.1,0.06,0.24,forecast,3.8759999999999995e-05
244,1788952357.104147,run3-forecast60-think-on,nemotron-3-nano:4b,200,35,134,54,1,0,stop,31,5524.3,0.06,0.24,forecast,3.426e-05
245,1788952359.4144828,run3-forecast60-think-on,nemotron-3-nano:4b,200,39,119,96,1,0,stop,35,4903.8,0.06,0.24,forecast,3.09e-05
