seq,ts,run,model,status,prompt_tokens,completion_tokens,reasoning_tokens,reasoning_estimated,usage_estimated,finish_reason,cached_tokens,latency_ms,in_per_m,out_per_m,price_source,cost_usd
1,1788951550.1463418,run1-think-on,nemotron-3-nano:4b,200,34,171,157,1,0,stop,0,5555.3,,,,
2,1788951555.463211,run1-think-on,nemotron-3-nano:4b,200,38,268,245,1,0,stop,0,10887.5,,,,
3,1788951558.729826,run1-think-on,nemotron-3-nano:4b,200,38,164,109,1,0,stop,0,8574.5,,,,
4,1788951571.025651,run1-think-on,nemotron-3-nano:4b,200,35,639,707,1,0,stop,0,15560.2,,,,
5,1788951573.287335,run1-think-on,nemotron-3-nano:4b,200,39,111,71,1,0,stop,0,14555.2,,,,
6,1788951576.151882,run1-think-on,nemotron-3-nano:4b,200,35,145,130,1,0,stop,0,5123.3,,,,
7,1788951578.703496,run1-think-on,nemotron-3-nano:4b,200,38,127,80,1,0,stop,0,5414.1,,,,
8,1788951587.350695,run1-think-on,nemotron-3-nano:4b,200,35,449,471,1,0,stop,0,11197.1,,,,
9,1788951590.0233269,run1-think-on,nemotron-3-nano:4b,200,38,133,102,1,0,stop,0,11317.7,,,,
10,1788951593.3545852,run1-think-on,nemotron-3-nano:4b,200,36,164,99,1,0,stop,0,6001.6,,,,
11,1788951609.088402,run1-think-on,nemotron-3-nano:4b,200,35,814,875,1,0,stop,0,19063.0,,,,
12,1788951619.1437728,run1-think-on,nemotron-3-nano:4b,200,35,523,524,1,0,stop,0,25785.4,,,,
13,1788951621.194991,run1-think-on,nemotron-3-nano:4b,200,35,105,50,1,0,stop,31,12103.6,,,,
14,1788951629.6623008,run1-think-on,nemotron-3-nano:4b,200,38,437,418,1,0,stop,0,10516.1,,,,
15,1788951632.699498,run1-think-on,nemotron-3-nano:4b,200,35,157,98,1,0,stop,31,11502.0,,,,
16,1788951634.688258,run1-think-on,nemotron-3-nano:4b,200,35,102,76,1,0,stop,31,5022.9,,,,
17,1788951643.723392,run1-think-on,nemotron-3-nano:4b,200,35,472,488,1,0,stop,31,11021.5,,,,
18,1788951646.972555,run1-think-on,nemotron-3-nano:4b,200,33,165,96,1,0,stop,0,12281.8,,,,
19,1788951650.176895,run1-think-on,nemotron-3-nano:4b,200,36,163,72,1,0,stop,0,6451.0,,,,
20,1788951653.568738,run1-think-on,nemotron-3-nano:4b,200,38,171,91,1,0,stop,0,6593.7,,,,
21,1788951655.889889,run1-think-on,nemotron-3-nano:4b,200,37,114,62,1,0,stop,0,5710.5,,,,
22,1788951658.0636292,run1-think-on,nemotron-3-nano:4b,200,38,107,64,1,0,stop,0,4492.5,,,,
23,1788951661.422296,run1-think-on,nemotron-3-nano:4b,200,33,170,138,1,0,stop,0,5530.0,,,,
24,1788951663.607214,run1-think-on,nemotron-3-nano:4b,200,34,109,57,1,0,stop,0,5541.3,,,,
25,1788951673.564482,run1-think-on,nemotron-3-nano:4b,200,37,516,551,1,0,stop,0,12139.9,,,,
26,1788951675.424884,run1-think-on,nemotron-3-nano:4b,200,33,92,73,1,0,stop,0,11815.0,,,,
27,1788951678.307986,run1-think-on,nemotron-3-nano:4b,200,38,144,112,1,0,stop,0,4741.0,,,,
28,1788951680.728191,run1-think-on,nemotron-3-nano:4b,200,35,124,69,1,0,stop,31,5299.9,,,,
29,1788951688.209594,run1-think-on,nemotron-3-nano:4b,200,38,386,349,1,0,stop,0,9899.2,,,,
30,1788951690.423274,run1-think-on,nemotron-3-nano:4b,200,38,109,63,1,0,stop,0,9692.7,,,,
31,1788951692.952338,run1-think-on,nemotron-3-nano:4b,200,38,130,91,1,0,stop,34,4740.5,,,,
32,1788951694.325898,run1-think-on,nemotron-3-nano:4b,200,37,64,21,1,0,stop,0,3900.0,,,,
33,1788951696.982283,run1-think-on,nemotron-3-nano:4b,200,38,135,69,1,0,stop,34,4027.7,,,,
34,1788951699.2713668,run1-think-on,nemotron-3-nano:4b,200,36,114,81,1,0,stop,0,4943.4,,,,
35,1788951701.3229282,run1-think-on,nemotron-3-nano:4b,200,39,105,66,1,0,stop,35,4338.6,,,,
36,1788951709.5115242,run1-think-on,nemotron-3-nano:4b,200,35,424,435,1,0,stop,0,10237.5,,,,
37,1788951711.363699,run1-think-on,nemotron-3-nano:4b,200,37,95,77,1,0,stop,33,10036.6,,,,
38,1788951714.118786,run1-think-on,nemotron-3-nano:4b,200,35,134,65,1,0,stop,0,4604.8,,,,
39,1788951717.768815,run1-think-on,nemotron-3-nano:4b,200,35,186,129,1,0,stop,0,6402.6,,,,
40,1788951719.692726,run1-think-on,nemotron-3-nano:4b,200,36,94,49,1,0,stop,0,5571.4,,,,
41,1788951721.308005,run1-think-on,nemotron-3-nano:4b,200,37,81,36,1,0,stop,33,3536.9,,,,
42,1788951724.052017,run1-think-on,nemotron-3-nano:4b,200,38,137,99,1,0,stop,0,4357.2,,,,
43,1788951726.866177,run1-think-on,nemotron-3-nano:4b,200,39,142,93,1,0,stop,35,5555.2,,,,
44,1788951729.022493,run1-think-on,nemotron-3-nano:4b,200,36,110,78,1,0,stop,32,4968.2,,,,
45,1788951733.087241,run1-think-on,nemotron-3-nano:4b,200,35,208,163,1,0,stop,0,6218.5,,,,
46,1788951736.785558,run1-think-on,nemotron-3-nano:4b,200,37,191,186,1,0,stop,33,7760.6,,,,
47,1788951745.052382,run1-think-on,nemotron-3-nano:4b,200,36,428,459,1,0,stop,0,11961.8,,,,
48,1788951747.175303,run1-think-on,nemotron-3-nano:4b,200,36,109,74,1,0,stop,32,10386.8,,,,
